,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
127,162,107,K, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"162,107","127. Sk. ‰Ûª15‰ÛÓ348; Block K‰Ûª; sq. 162-107‰Ûª; stratum II. Capital of a miniature pillar of Persepolitan design, composed of four bulls, sitting back to back. Length 3 in. The capital is pierced with a vertical hole through its centre. The modelling is rough but vigorous; the clay badly burnt. This capital, which belongs to the Parthian period, furnishes us with an early example of a motif which was to become a favourite one among the •Âfth-century stuccos at Taxila. Cfg‰Ûªp. 180 supra; A.S.R. (1915), P1. VIII, e. (P1. 135, dd.) An interesting type of personal ornament, found chie•Âây in the Bhir Mound, takes the form of a round medallion or bulla of terra-cotta, usually convex on its outer side and decorated with reliefs. Some specimens are provided with one or two small holes for attachment, pierced either from back to front or transversely across the face. Other specimens have no holes at all. In the simpler "kinds the decoration consists of rosettes or circular beaded mouldings; in the more elaborate ones the beaded circles are centred with human masks or •Âgures in relief or with a geometric design. What purpose these medallions served is uncertain. Possibly they may have been in the nature of amulets, like the bullae which Roman boys wore as a protection against the fascination of the evil eye; or they may have been simple ornaments (possibly some were ear-rings) without any particular talismanic signi•Âcance. Whether they were of Indian or foreign origin is open to question, but it is noteworthy that the human masks are characteristically Greek, While the relief of the lion attacking a bull is certainly not Indian. For imitation jewellery made of terra‰ÛÓcotta, cf. B.M. Cat. of jewellery, Pl. XLII.""27. Sk. ‰Ûª15‰ÛÓ348; Block K‰Ûª; sq. 162-107‰Ûª; stratum II. Capital of a miniature pillar of Persepolitan design, composed of four bulls, sitting back to back. Length 3 in. The capital is pierced with a vertical hole through its centre. The modelling is rough but vigorous; the clay badly burnt. This capital, which belongs to the Parthian period, furnishes us with an early example of a motif which was to become a favourite one among the •Âfth-century stuccos at Taxila. Cfg‰Ûªp. 180 supra; A.S.R. (1915), P1. VIII, e. (P1. 135, dd.) An interesting type of personal ornament, found chie•Âây in the Bhir Mound, takes the form of a round medallion or bulla of terra-cotta, usually convex on its outer side and decorated with reliefs. Some specimens are provided with one or two small holes for attachment, pi",135-dd,Sk,2,1915,24
124,100,58,G, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"100,58","124.. Sk. ‰Ûª17‰ÛÓ5 14.; Block G; sq. 100'58'; stratum II. Similar, but circlets centred with point. Length 25 in. Cf. p. 168 supra. (P1. 135, y, 2.)",135-y-2,Sk,2,1917,24
125,13,92,1, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"13,92","125. Sk. ‰Ûª29‰ÛÓ3,166; Block 1‰Ûª; sq. 13-92'; stratum VI. Similar to no. 122, but with I opposite to 4 instead of 3. Length 2-5 in. (P1. 135, y, 4.)",135-y-4,Sk,6,1929,24
126,72,51,E, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"72,51","126. Sk. ‰Ûª13‰ÛÓI,33I; Block E; sq. 72-51‰Ûª; stratum III. Terra-cotta pillar with Corinthian capital and circular moulded base. Height 625 in. The shaft is relieved by a moulded band near its middle and the •Ââutings take the form of eight countersunk panels above and below this band. The shaft has a circular hole through its middle, and the top of the abacus is relieved by concentric circles with a •Ânely moulded contour. Of purple red, •Ânely levigated, clay. The horizontal mouldings were turned on the lathe after •Âring. In this and other respects, the workmanship is more than usually re•Âned. The pillar dates from about the beginning of the Christian era. Cf. p. 161, no. 3 supra; A.S.R. (1912), P1. XXIII, c. (P1. 135, hh.)",135-hh,Sk,3,1913,24
127,162,107,K, XXI. Decorative pieces and personal ornaments (nos. 126‰ÛÓ45),"162,107","127. Sk. ‰Ûª15‰ÛÓ-348; Block K‰Ûª; sq. 162-107‰Ûª; stratum II. Capital of a miniature pillar of Persepolitan design, composed of four bulls, sitting back to back. Length 3 in. The capital is pierced with a vertical hole through its centre. The modelling is rough but vigorous; the clay badly burnt. This capital, which belongs to the Parthian period, furnishes us with an early example of a motif which was to become a favourite one among the •Âfth-century stuccos at Taxila. Cf. p. 180 supra; A.S.R. (1915), P1. VIII, e. (Pl. 135, dd.) An interesting type of personal ornament, found chie•Âây in the Bhir Mound, takes the form of a round medallion or bulla of terra‰ÛÓcotta, usually convex on its outer side and decorated with reliefs. Some specimens are provided with one or two small holes for attachment, pierced either from back to front or transversely across the face. Other specimens have no holes at all. In the simpler kinds the decoration consists of rosettes or circular beaded mouldings; in the more elaborate ones the beaded circles are centred with human masks or •Âgures in relief or with a geometric design. What purpose these medallions served is uncertain. Possibly they may have been in the nature of amulets, like the bullae which Roman boys wore as a protection against the fascination of the evil eye; or they may have been simple ornaments (possibly some were ear-rings) Without any particular talismanic signi•Âcance. Whether they were of Indian or foreign origin is open to question, but it is noteworthy that the human masks are characteristically Greek, while the relief of the lion attacking a bull is certainly not Indian. For imitation jewellery made of terra-cotta, cf. B.M. Cat. of j‰Û÷ewellery, P1. XLII.",135-dd,Sk,2,1915,24
146,,,," XXII. Moulds (nos. 146‰ÛÓ52). Cf. ‰Û÷Stone‰Ûª, ch. 25, Class XXVI;",,"146. Sk. ‰Ûª17~772; alongside the city wall; stratum IV. Mould of female •Âgure, standing. Height 2-87 in. Hair and veil fall on either side of head. Elaborate head-dress, heavy necklace and armlets. Of the •Ârst century B.C. (Pl. 136, l.) 147. Dh. ‰Ûª15‰ÛÓ‰ÛÓI,o7o; debris. Terra‰ÛÓcotta mask, perhaps of a Buddha head. Height 3-25 in. Cf. A.S.R. (1915), Pl. 111, d. (P1. 136, k.) 148. Dh. ‰Ûª31‰ÛÓ10; sq. 1612‰Ûª; 10 ft. 8 in. below surface. Terra-cotta mould of a female •Âgure ornamented and draped. She is standing on a makam and most probably represents Ganga (the Ganges river). Length 4-7 in. Fine work of the late medieval period. Cf. p. 284 supra. (P1. 136, 11.) From Sirkap there come also a number of moulds which appear to have been used by ancient coin-forgers, just as such moulds are used by present-day forgers. The moulds take the form of •Ââat circular tablets of terra-cotta, with the impress of half a d0zen or a dozen coins in each, the coins being those of the Saka kings, Maues and Azes II. The moulds themselves appear to date from the closing years of the Parthian rule at Taxila, when the kings whose coins are •Âgured on them had long since passed away. It is well known, however, and there is abundant evidence at Taxila itself to show, that these and many other coins, some even older than the issues of Maues, continued in circulation throughout the Parthian period, and no doubt the forgers, whoever they were, found it safer to copy the older issues rather than to forge the current coins of the realm. Cf. A.S.R. (1912‰ÛÓ13), pp. 34‰ÛÓ5 and P1. XXX, f. In }.B.O.R.S. (June 1936), vol. XXII, pt. 11, K. P. Jayaswal expresses the View that some similar moulds found at Rohtak were used in the government mint, but the impressions of the coins of Maues and Azes II in this collection from TaXila make it virtually certain that the moulds were part of a forger‰Ûªs plant. For similar moulds used for the casting of Roman coins, cf. Num. Chron. (1871), pp. 28 ff. The following are typical specimens.","136-l, 136-k, 136-11",Sk,4,1917,24
149,189,71,L," XXII. Moulds (nos. 146‰ÛÓ52). Cf. ‰Û÷Stone‰Ûª, ch. 25, Class XXVI;","189,71","149. Sk. ‰ÛªI4‰ÛÓ2,4o6; Block L; sq. 189-71'; stratum II. Fragmentary mould of red terra- cotta with portions of •Âve impressions of a coin of Maues exhibiting a caduceus with Greek legend. Length 3-25 in. Black paint on inner face, perhaps of graphite, which would help the casting. For the coin, cf. I.M. Cat. I, p. 38 and P1. VIII, I. (Pl. 136, m.)",136-m,Sk,2,,24
150,,,A," XXII. Moulds (nos. 146‰ÛÓ52). Cf. ‰Û÷Stone‰Ûª, ch. 25, Class XXVI;",,"150. Sk. ‰ÛªIz‰ÛÓAI, a. From same spot. Circular mould of light red term‰ÛÓcotta, containing twelve impressions. Diam. 4 in. Eight of the impressions represent King Azes II on horse- ‰Û÷ For a very similar design in a bead of opaline white glass, cf. H. Beck, Beads from Taxila, Pl. 1X, 1. CH. 24] TERRA-GOTTA AND CLAY OBJECTS 463 back; the rest show Pallas, with spear and shield. There is a channel at the edge for pouring in the molten metal. Cf. pp. 177, n. 2, 210 supra; A.S.R. (1912), P1. XXX,f(2). (Pl. 136, p.) 151. Sk. ‰ÛªIz‰ÛÓAI, a. From same spot. Similar. Diam. 4-12 in. (P1. 136, q.) I 52. Sk. ‰ÛªIz‰ÛÓAI, a. From same spot. Similar but with six impressions only. Diam. 3 in. (P1. 136, 1'.) Among the many objects of earthenware from the Bhir and Sirkap Mounds it remains only to describe certain small votive or ritual tanks of a kind virtually new to Indian archaeology. These tanks do not number more than •Âfteen in all, inclusive of fragments, and out of this number four were found, as already stated,‰Û÷ alongside the base of the small st•Âpa in the Parthian palace of Sirkap, where they were still evidently occupying the places where they had originally been dedicated; a •Âfth was lying loose in the debris near by, and two others were found in the court‰ÛÓ yard of the st•Âpa in Block A. As there are grounds for believing that these two st•Âpas were Jaina rather than Buddhist structures, and as none of the tanks has been found at any of the innumerable Buddhist st•Âpas at Taxila, it is not unreason- able to surmise that they were particularly connected with Jaina ritual. Earliest type a. In the earliest form represented at Taxila the votive tank consists merely of a round bowl with a number of miniature saucer-shaped lamps round its rim. Three specimens only of this type have been found: two in the Bhir Mound, and one in the lowest stratum of Sirkap. They are assignable to the third and second centuries B.C. In the Bhir Mound examples the rim is not •Ââattened; in the Sirkap example it is.","136-p, 136-q, 136-1'",Sk,,,24
155,156,49,K, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"156,49","1 5 5. Sk. ‰Ûª24‰ÛÓ1, 526; Block K; sq. 156-49'; stratum II. From shrine in royal palace. Ritual tank surmounted by small lamps at the four corners. Traces of birds perched on the rim between the lamps, and a •Ââight of steps in one corner. Bottom broken. Of red coarse clay mixed with baj•Â. Size 14-75 x 14in. Cf. supra, pp. 173‰ÛÓ4 and A.S.R. (1924), P1. XIII, 2, 3. (Pl. 136, u.) 156. Sk. ‰Ûª24‰ÛÓ1, 528. From same spot as preceding. Similar to no. 155, but the birds and ‰Û÷ Cf. ch. 5, pp. 173‰ÛÓ4. 59-2 Three types of tank 464 TERRA‰ÛÓGOTTA AND CLAY OBJECTS [011. 24 lamps are better preserved. Vertical steps near middle of one side, instead of in corner. Bottom missing. Of coarse red clay mixed with bajrz‰Û÷. Size 12 x 11-5 in. (P1. 136, u.)","136-u, 136-u",Sk,2,1924,24
157,160,45,K, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"160,45","157. Sk. ‰Ûª14‰ÛÓ383; Block K; sq. 160-45‰Ûª; stratum II. Similar, but with steps standing out from side near one corner. Aquatic creatures on bottom. Coarse red clay mixed with bajrz‰Û÷. Size 1025 x 975 in. Cf. pp. 173~4 supra; A.S.R. (1914), P1. XXII, 56. Type c. The third type is more elaborate. On one side of the tank is a small shrine with a primitive-looking idol of a goddess either inside or in front of it. In most examples the shrine is placed on the rim of the tank, with two small posts to support its front, and there is a •Ââight of steps descending from one side of it to the bottom of the tank (nos. 158‰ÛÓ9). Generally the idol stands beside the steps about half an inch above the •Ââoor; but in one example (no. 160) the shrine itself is placed on the •Ââoor of the tank with the idol inside it. Usually the shrine is in the form of a rectangular chamber, shallow from front to back and with or without a pillar in the middle of the facade. In one example, however (no. 161), which comes from stratum III, the shrine is deeper and pro‰ÛÓ vided with a high-pitched roof; and in another still earlier example (no. 163) the tank, which may have been circular, was divided by cross walls into quarters, and a circular shrine was set on the dividing walls at the point of intersection. The idols belonging to the shrines closely resemble some of the primitive •Âgurines of the Nude Mother or Earth goddess type, with arms tapering to points at the elbows, •Ââattened bodies and no legs. See above Class I, a, nos. 1‰ÛÓ5.",,Sk,2,1914,24
158,25,66,A, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"25,66","158. Sk. ‰Ûª15‰ÛÓ715; sq. 2 5-66‰Ûª; stratum II; from court of Block A. Votive tank of terra-cotta with a double‰ÛÓchambered shrine at one side. I 1-12 x 1 I in. A •Ââight of steps descends from the shrine to the bottom of the tank, and by its side stands a female idol. Near the middle of the tank is a low protuberance on which a bird is perched. In other respects the tank is similar to those already described. Cf. p. 145, n. 5 supra; A.S.R. (1924‰ÛÓ5), p. 50. (Pl. 136, w.)",136-w,Sk,2,1915,24
159,,,, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),,"159. Sk. ‰Ûª15‰ÛÓ718. From same spot as preceding, and similar to it, but the shrine is single- chambered and the rim of the tank is scalloped. On the •Ââoor are eels or water-snakes, a tortoise and a frog, as well as a small protuberance near the foot of the steps; 10' 5 in. square by 2.25 in. deep. Cf. A.S.R. (1924‰ÛÓ5), p. 50. (P1. 136, x.)",136-x,Sk,,1915,24
160,159,104,K, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"159,104","160. Sk. ‰Ûª15‰ÛÓ412; Block K‰Ûª; sq. 159-104]; stratum II. Similar to preceding, but the shrine is set on the •Ââoor of the tank, and the idol is inside it; 10 x 9å¡75 in. Cf. p. 180. The following are fragments only:",,Sk,2,1915,24
161,14,96,1, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"14,96","161. Sk. ‰Ûª29‰ÛÓ1,235; Block 1‰Ûª; sq. 14-96‰Ûª; stratum III. A square terra-cotta hut with pitched roof and four steps in front. Height 4-7 5 in. Originally it was attached to the side of a ritual tank. Cf.- p. 196 supra; A.S.R. (1915‰ÛÓ16), Pl. VIII, a. (P1. 136, 7).)",136-7,Sk,3,1929,24
162,,,K, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),,"I62. Sk. ‰Ûª14‰ÛÓ98; Block K; sq. 168,-47‰Ûª; stratum II. Triangular shrine of terra‰ÛÓcotta belonging to a ritual tank. Height 3-25 in. At the back, on the underside, is a sunk groove where it •Âtted on to the rim of the tank. Cf. p. 173 supra. (Pl. 136, y.)",136-y,Sk,2,1914,24
163,15,88,A, XXIII. Votive or ritual tanks (nos. 153‰ÛÓ63),"15,88","163. Sk. ‰Ûª29‰ÛÓ3,178; Block A'; sq. 15-88‰Ûª; stratum V. Central part of a ritual tank with fragments of two cross-walls surmounted by a circular shrine. Length 8-5 in. This tank, which comes from the Greek stratum in Sirkap, may have been circular, like those of type a. The shrine is bell-shaped With an entrance on one side. Round it are the broken stumps, •Âve in number, of What may have been trees or pillars, and on the top of the roof is a broken pro- tuberance, which may have been a •Ânial. Within the shrine is another broken stump, which looks suspiciously like a lirlga. (Pl. 136, z.) MM , m åÈ<*\,W CH. 24] TERRA-GOTTA AND CLAY OBJECTS 465 A few other specimens of these votive tanks have also been recovered from among the ruins of Sirkap, for the most part in a fragmentary state; but as they are merely duplicates of the foregoing, it would be super•Ââuous to describe them. The questions that we must now endeavour to answer are, •Ârst, what was the signi•Âcance and purpose of these interesting tanks, and secondly, how came they to be dedicated at these st•Âpas, whether Jaina or Buddhist? One thing, clear before all else, is that they are intimately connected with the cult of the nude goddess whose shrine and miniature idol stand, in many of the specimens, on one side of the tank. Probably this was the Great Mother-goddess whose cult was ubiquitous in ancient India and went back to immemorial times. It was this same Mother‰ÛÓ goddess, as I have elsewhere shown,I whose terra-cotta images are found at Mohenjo-daro and other sites of the Chalcolithic Age, who appears •Âgured on the thin gold plate found by the late Dr Bloch in the heart of a prehistoric funeral tumulus at Lauriya Araraj,2 and who is carved in relief on the inner side of certain ringstones of Maurya date‰ÛÓthemselves possessed of magic properties associated with fertility•Â Then, another obvious feature of these tanks is that they are symbolical of the four elements and of all creation: of earth, air, •Âre and water, and of all the beings that live in them‰ÛÓthe earth symbolised by the clay of which the tank is made, the air by the birds, the •Âre by the lamps, and the water by the aquatic creatures within, as well as by the water itself with which the tank was partly •Âlled. Such symbolism calls for no recondite explanation, for there is no reason for supposing that it implies anything more than that, in the eyes of the votary, the goddess was supreme over the four elements and all created things contained in them. That, at any rate, is an adequate explanation, beyond which it is hardly necessary to go. We should not forget, however, that tanks have a certain peculiar sanctity of their own in India, partly because they are the familiar adjuncts of countless shrines and temples throughout the length and breadth of the land, partly because of the all‰ÛÓimportant part they play in the ceremonial ablutions of the worshippers. An eX-voto, therefore, consisting of a miniature shrine with a tank by its side would be a very natural and appropriate form of offering. But why‰ÛÓand this is the second question we have to answer‰ÛÓshould these ritual tanks which appertained to an essentially Hindu cult, have been dedicated at Jaina or‰ÛÓ'‰ÛÓif there is any doubt about them being Jaina‰ÛÓat Buddhist st•Âpas? The answer is to be found in the contamination which has taken place in every religion known to us, and which in the •Ârst century AD. was affecting Jainism as much as it was affecting Buddhism. However philosophic and abstract in their essence these two religious systems may originally have been, it was inevitable that they should take much of their subsequent colour from the primitive and long- established faiths of the people, and that, as they cast their nets wider and wider among the many nations of India and its varied classes of society, they should I See M.I.C. vol. I, pp. 49‰ÛÓ52. 2 Cf. A.S.R. (1906‰ÛÓ7), p. 124. 3 See ‰Û÷ Stone Objects‰Ûª, ch. 25, nos. 129-32 infra. Connexion with cult of Mother- goddess Symbolism of the four elements Sanctity of tanks in India Fusion of older cuts with Buddhism and Jainism Connexion of ritual tanks with the dead           466 TERRA-GOTTA AND CLAY OBJECTS [CH. 24 absorb into themselves many beliefs and concrete cultural practices undreamt of by their founders. In the case of Buddhism it is well known how much current folklore went to the making of the jdtakas, and if we turn to the sculptures of Bharhut and Si•Âchi‰ÛÓour surest and safest guides to the character of popular Buddhism in the •Ârst century B.C.‰ÛÓwe •Ând evidence on every hand of the extent to which the Sakya faith had amalgamated with the cults and superstitions of an earlier age, and become blended with them into the newer Buddhism. Thus we see in these sculptures how Lakshmi, ancient goddess of prosperity and domestic happiness, had been transformed into Maya, the mother of the Blessed One; how the magic Tree of Life and Fortune still continued to shower its blessings on the Buddhists, as it had showered them from time immemorial on their ancestors; and how yakshas and yakshis, ndgas and ndgis played just as real and Vital a part in the new faith as they had done in the old. It can hardly surprise us, therefore, to •Ând these little shrines and tanks of the Mother-goddess dedicated by Jaina suppliants at the foot of their st•Âpas. They are only another illustration of the inevitable fusion that was taking place between the primitive cults of pre‰ÛÓAryan India and a creed which was largely above the heads of the masses. The process is one which can still be seen going on in Burma, where images of the old indigenous Nats are still being set up as guardian genii round many of the Buddhist pagodas, as these small •Âgures of the Mother-goddess were no doubt meant to protect the Taxila st•Âpas. It may be, too, that this form of votive offering had some special signi•Âcance in connexion with the dead; for the st•Âpa, be it remembered, was in origin a burial tumulus and there is no reason to suppose that its original character was ever lost sight of. I make this suggestion because small tanks of a somewhat similar kind to those we are discussing are still in use in Bengal in connexion with certain rites to Yama, the god of Death,‰Ûª known as Yama-pukur-bmta. The rites are performed by unmarried girls for four consecutive years and for a full month beginning with the last day of the month Aswin and ending with the last day of Kartik: that is, from the middle of October to the middle of November. The following is the manner of the rites. A tiny tank, about a cubit square with a channel on one side, is dug in the courtyard of the house, and on the eastern side of it are placed plants of rice, banana, turmeric, tulsi,I main,2 kalmi,3 and susm',4 all tied together in a bundle. Then a cowry, a betel nut and a piece of turmeric are placed at each of the four corners of the tank. Next, a number of small •Âgures are made from the excavated earth, viz. a crocodile, an eel, a tortoise, a shark, sixteen dolls representing washer- men, •Âshermen and others, and a number of crows, cranes, kites and other birds. Of these, the crocodile, shark, eel and tortoise are placed on the edges of the tank, the two latter near the channel, the birds stuck on little sticks are planted in the middle of the tank, and of the sixteen dolls four are set on each of the banks. Thereafter, an e•Ââ'igy of Yama is made lying in his mother‰Ûªs lap, and is placed on the eastern edge beside the bundle of plants; and lastly, lamps are lit at the corners of ‰Û÷ Ocimum sanctum. 2 Alocasz'a Indica. 3 Ipomaea aquatica. 4 Mam'lea quadrzfolia. ‰Û÷ t g 3 CH. 24] TERRA‰ÛÓGOTTA AND CLAY OBJECTS 467 the tank. The girls then proceed to make offerings to Yama and his mother by casting •Ââowers into the tank and pouring water therein, while they recite certain mantras, bowing down and praying for long life and prosperity for their families and themselves. When the mantras and prayers are •Ânished, two tales are told by the girls about the powers of the Yama-pukur-brata and the evils that come to those who interfere with the ritual ;I and on the last day of the ceremonies, at the end of the fourth year, the girls give food to Brahmans, and to a cowboy they give an umbrella, a piece of cloth, a pair of shoes, a stick and ten cowry shells. Here, then, in this Yama‰ÛÓpulsar of Bengal we have all the essential features of the votive tank at Taxila, viz. the square tank of water, the creatures that live in water, the birds of the air, and the lamps of •Âre, representing in both cases the four elements and all created things over which Yama, no less than the Great Mother-goddess, rules. A curious analogy to these votive tanks of Taxila is also presented by a class of earthenware models found in Egyptian graves of the Middle Empire, two examples of which are illustrated in P1. 136, bb, cc. To Egyptologists they are commonly known as ‰Û÷ soul‰ÛÓhouses ‰Ûª, and the former of the two examples illustrated (no. I 36, bb) is doubtless a model of an Egyptian house intended for the soul of the departed.2 The other (cc) is more probably in the nature of an ‰Û÷ offerings‰ÛÓdish‰Ûª, but, with its little lamp in one corner, it can hardly fail to remind us of the tank‰ÛÓshrines of Taxila, albeit the resemblance may be only a fortuitous one. A closer parallel to the latter is afforded by some votive models which were found a few years ago at Hephaestia in the Isle of Lemnos and described in the Illustrated London News3 by Dr Doro LÌ©vi. These ex-votos (Pl. 136, aa), which date from the sixth century B.C., consist of a miniature shrine (usually three-chambered) of terra-cotta, with a shallow tank in front, the latter being rectangular or semicircular in plan; and in the tank are various aquatic animals‰ÛÓeels, tortoises and the like‰ÛÓjust as there are in the Taxila tanks. Moreover, in the case of one of the specimens illustrated the resem‰ÛÓ blance is increased by the presence of a •Âgure seated on the edge of the tank in front of the shrine. That there is any immediate connexion between these tank- shrines from Hephaestia and those from Sirkap is, on the face of it, hardly probable, but it is by no means unlikely that both may go back to a common prototype which in the Chalcolithic Age may well have had a diffusion in the Near and Middle East as wide as the cult of the Great Mother-goddess herself. However this may be, there can be virtually no question that the votive tanks at Taxila were Indian in character. It is true that they occur very rarely in the Bhir Mound, and that such as have been found there are of a different type from those found in Sirkap, I For the brata and the tales told by the girls, see the appendix to this chapter, pp. 473‰ÛÓ5. 1 These so-called ‰Û÷soul-houses‰Ûª were not known, so far as I am aware, in Roman Egypt. A large number of beautiful specimens were found by Petrie at Rifeh and are published in his Giza]: and Rifeh. They date from the period between the VIth and XIth Dynasties. In Saite times they are also known, but of a very rough form. 3 Illustrated London News (28 Feb. 1931), pp. 328‰ÛÓ31. Cf. Arch. Anzeiger (I930), p. 14.6; }.H.S. (I930), p- 245- Parallels from Egypt and Lemnos Their character. essentially Indian 468 TERRA‰ÛÓGOTTA AND CLAY OBJECTS [CH. 24 and it might reasonably be inferred, therefore, that the latter were a novelty introduced by the Parthians. Against this inference, however, there are two un- answerable arguments. The •Ârst is that some broken tank-shrines of the same kind were found by the writer as far east as Bhiga near Allahabad‰ÛÓin the heart of Hindustan, Where the Parthians never penetrated.I The second is that the idols in the tank-shrines were of a type familiar in India from prehistoric times and such as were still, in the •Ârst century A.D., quite in keeping with popular ideas, but not such as foreign invaders from the West, whether Parthian, Scythian or Greek, are likely to have manufactured. We come now to a class of terra‰ÛÓcotta and clay •Âgures which are exclusively . Buddhist in character and altogether more impressive than the preceding examples. In style, they are generally similar to the Buddhist stucco sculptures described in chapter 26, but thanks to the greater plasticity of clay as compared with stucco and to the ease with which it can be handled, many of these •Âgures show a freedom in their modelling and a sensitiveness to form which was never quite attained in stucco work. With a few rare exceptions, all these •Âgures belong to the Indo-Afghan School of the fourth to •Âfth century A.D., and comprise, as we shall see, several pieces of surpassing merit. The smaller •Âgures were usually of terra-cotta throughout, that is, of clay •Âred in a kiln. Of the larger •Âgures, some were made entirely of sun-dried clay; in others, the head was of terra-cotta, the rest of sun- dried clay. Dharmarajika I64. Dh. ‰Ûª13‰ÛÓ493; from building L. Terra-cotta head with high topknot and wreath. St•Âpa nos. Height 5-62 in. That the Buddhists had already started making use of terra-cotta for their I64‰Û÷72 images even before Kushan times is evident from this head (Pl. 138, a), Which comes from the Dharmarajika St•Âpa and is so strikingly similar in size and in the character of its features‰ÛÓ‰ÛÓ notably, in its small mouth and nose and carelessly modelled eyes‰ÛÓto many of the stucco heads from the apsidal temple in Sirkap, that there can be no doubt about its belonging to approxi‰ÛÓ mately the same age (middle of •Ârst century A.D.), though the crude treatment of the wreath and topknot suggest that it may be a little later. Cf. p. 251 supra. As to the other terra-cotta heads from the Dharmarajika St•Âpa, it is tempting to see in the two •Âne heads nos. I66 and 167, with their broad open features and western type of countenance, evidence of a stronger Hellenistic in•Ââuence than is usual in the Indo-Afghan School, and, indeed, this was the view which I myself took of these two heads, when I •Ârst unearthed them at the Dharmarajika St•Âpa. But since then our knowledge of this School has vastly increased, and we can now be perfectly con•Âdent in assigning them and all the following pieces, except no. 187, to that School.","136-z, 136-aa, 138-a",Sk,5,1929,24
